2025-03-14 12:27:13,895 | WARNING  | helper_functions.py:142 | Error: Time index '0.5705705705705706' or column 'Fx' not found.
2025-03-14 12:27:13,898 | WARNING  | helper_functions.py:142 | Error: Time index '0.5805805805805806' or column 'Fx' not found.
2025-03-14 12:27:13,901 | WARNING  | helper_functions.py:142 | Error: Time index '0.5905905905905906' or column 'Fx' not found.
2025-03-14 12:27:13,903 | WARNING  | helper_functions.py:142 | Error: Time index '0.6006006006006006' or column 'Fx' not found.
2025-03-14 12:27:13,906 | WARNING  | helper_functions.py:142 | Error: Time index '0.6106106106106106' or column 'Fx' not found.
2025-03-14 12:27:13,909 | WARNING  | helper_functions.py:142 | Error: Time index '0.6206206206206206' or column 'Fx' not found.
2025-03-14 12:27:13,911 | WARNING  | helper_functions.py:142 | Error: Time index '0.6306306306306306' or column 'Fx' not found.
2025-03-14 12:27:13,914 | WARNING  | helper_functions.py:142 | Error: Time index '0.6406406406406406' or column 'Fx' not found.
2025-03-14 12:27:13,917 | WARNING  | helper_functions.py:142 | Error: Time index '0.6506506506506506' or column 'Fx' not found.
2025-03-14 12:27:13,920 | WARNING  | helper_functions.py:142 | Error: Time index '0.6606606606606606' or column 'Fx' not found.
2025-03-14 12:27:13,922 | WARNING  | helper_functions.py:142 | Error: Time index '0.6706706706706707' or column 'Fx' not found.
2025-03-14 12:27:13,925 | WARNING  | helper_functions.py:142 | Error: Time index '0.6806806806806807' or column 'Fx' not found.
2025-03-14 12:27:13,928 | WARNING  | helper_functions.py:142 | Error: Time index '0.6906906906906907' or column 'Fx' not found.
2025-03-14 12:27:13,931 | WARNING  | helper_functions.py:142 | Error: Time index '0.7007007007007007' or column 'Fx' not found.
2025-03-14 12:27:13,934 | WARNING  | helper_functions.py:142 | Error: Time index '0.7107107107107107' or column 'Fx' not found.
2025-03-14 12:27:13,937 | WARNING  | helper_functions.py:142 | Error: Time index '0.7207207207207207' or column 'Fx' not found.
2025-03-14 12:27:13,940 | WARNING  | helper_functions.py:142 | Error: Time index '0.7307307307307307' or column 'Fx' not found.
2025-03-14 12:27:13,942 | WARNING  | helper_functions.py:142 | Error: Time index '0.7407407407407407' or column 'Fx' not found.
2025-03-14 12:27:13,945 | WARNING  | helper_functions.py:142 | Error: Time index '0.7507507507507507' or column 'Fx' not found.
2025-03-14 12:27:13,948 | WARNING  | helper_functions.py:142 | Error: Time index '0.7607607607607607' or column 'Fx' not found.
2025-03-14 12:27:13,950 | WARNING  | helper_functions.py:142 | Error: Time index '0.7707707707707707' or column 'Fx' not found.
2025-03-14 12:27:13,953 | WARNING  | helper_functions.py:142 | Error: Time index '0.7807807807807807' or column 'Fx' not found.
2025-03-14 12:27:13,957 | WARNING  | helper_functions.py:142 | Error: Time index '0.7907907907907907' or column 'Fx' not found.
2025-03-14 12:27:13,960 | WARNING  | helper_functions.py:142 | Error: Time index '0.8008008008008007' or column 'Fx' not found.
2025-03-14 12:27:13,962 | WARNING  | helper_functions.py:142 | Error: Time index '0.8108108108108109' or column 'Fx' not found.
2025-03-14 12:27:13,965 | WARNING  | helper_functions.py:142 | Error: Time index '0.8208208208208209' or column 'Fx' not found.
2025-03-14 12:27:13,968 | WARNING  | helper_functions.py:142 | Error: Time index '0.8308308308308309' or column 'Fx' not found.
2025-03-14 12:27:13,971 | WARNING  | helper_functions.py:142 | Error: Time index '0.8408408408408409' or column 'Fx' not found.
2025-03-14 12:27:13,974 | WARNING  | helper_functions.py:142 | Error: Time index '0.8508508508508509' or column 'Fx' not found.
2025-03-14 12:27:13,977 | WARNING  | helper_functions.py:142 | Error: Time index '0.8608608608608609' or column 'Fx' not found.
2025-03-14 12:27:13,979 | WARNING  | helper_functions.py:142 | Error: Time index '0.8708708708708709' or column 'Fx' not found.
2025-03-14 12:27:13,982 | WARNING  | helper_functions.py:142 | Error: Time index '0.8808808808808809' or column 'Fx' not found.
2025-03-14 12:27:13,985 | WARNING  | helper_functions.py:142 | Error: Time index '0.8908908908908909' or column 'Fx' not found.
2025-03-14 12:27:13,988 | WARNING  | helper_functions.py:142 | Error: Time index '0.9009009009009009' or column 'Fx' not found.
2025-03-14 12:27:13,991 | WARNING  | helper_functions.py:142 | Error: Time index '0.9109109109109109' or column 'Fx' not found.
2025-03-14 12:27:13,994 | WARNING  | helper_functions.py:142 | Error: Time index '0.9209209209209209' or column 'Fx' not found.
2025-03-14 12:27:13,996 | WARNING  | helper_functions.py:142 | Error: Time index '0.9309309309309309' or column 'Fx' not found.
