speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
81.5397631494959,0.180289377068279,4.047,8.5556012813816,5.51535445290489,2,9,9589.25347077683,60.016915995987,80.820777556721,-32.4782397490833,177.561955470317,27.4268516476248,93.3268671262089,0,59.963,1,107.815290816028,1.6,1.56,3.72302648977595,3.66648957062422,0.100041554906638,4.11405097471534,-0.0374704490839486,0,2481.62856025092,
81.7258895155543,0.18969337789416,4.26,8.59470466806974,5.49784812941408,2,9,9611.14233619403,59.8971506424617,80.8436145754648,-32.6266815857339,178.373502616742,27.4442167996622,93.2829635387384,0,59.963,1,107.815290816028,1.6,1.56,3.93015977220203,3.67545075037587,0.0997886502299658,4.33024474361216,-0.0321054610244255,0,2481.48011841427,
81.9109993345809,0.199075961608395,4.473,8.63368291618015,5.480302200346,2,9,9632.91165346959,59.7780393989222,80.8655965984712,-32.7746483791238,179.182452651657,27.4630140709686,93.2390560045065,0,59.963,1,107.815290816028,1.6,1.56,4.13732456628676,3.68436878967339,0.0995349383311219,4.54638485226751,-0.0259598692427813,0,2481.33215162088,
82.0950981895472,0.208437341718871,4.686,8.67253575243751,5.46271705885915,2,9,9654.56207917311,59.659578672935,80.8867362539681,-32.9221390918625,179.988799903538,27.4832427995492,93.1951457487518,0,59.963,1,107.815290816028,1.6,1.56,4.34452088386233,3.69324391768759,0.0992803647896907,4.76246848125041,-0.0190338726693123,0,2481.18466090814,
82.2781915889004,0.217777728866342,4.899,8.71126290628682,5.44509309893972,2,9,9676.09426110998,59.5417649200205,80.9070460092748,-33.0691526968857,180.792538757316,27.5049022762459,93.1512339994487,0,59.963,1,107.815290816028,1.6,1.56,4.55174873634748,3.70207635839247,0.0990249133275327,4.97849281186685,-0.0113276804176702,0,2481.03764730311,
82.4602849681049,0.227097330879853,5.112,8.74986410990103,5.42743071540273,2,9,9697.50883850262,59.4245946426608,80.9265381736027,-33.2156881774853,181.593663654541,27.5279917438655,93.1073219872561,0,59.963,1,107.815290816028,1.6,1.56,4.75900813475655,3.71086633195,0.09876858229769,5.19445502619662,-0.0028415117821334,0,2480.89111182251,
82.6413836911455,0.236396352830803,5.325,8.78833909818866,5.4097303038932,2,9,9718.80644216731,59.3080643893321,80.9452249007856,-33.3617445273374,182.392169093535,27.5525103963198,93.0634109454641,0,59.963,1,107.815290816028,1.6,1.56,4.96629908969096,3.7196140551222,0.0985113739142862,5.41035230713004,0.00642440376525488,0,2480.74505547266,
82.8214930519951,0.245674997085669,5.538,8.82668760880124,5.39199226088738,2,9,9739.98769468676,59.1921707535611,80.9631181919431,-33.5073207505312,183.188049629549,27.5784573777766,93.0195021099398,0,59.963,1,107.815290816028,1.6,1.56,5.17362161134119,3.72831974144044,0.0982532915750304,5.62618183840473,0.0164698265776805,0,2480.59947924947,
83.0006182760457,0.254933463357445,5.751,8.86490938214092,5.3742169836941,2,9,9761.05321057846,59.0769103730034,80.9802298980785,-33.6524158615976,183.981299874918,27.6058317818211,92.9755967190722,0,59.963,1,107.815290816028,1.6,1.56,5.38097570949057,3.73698360139891,0.0979943401649058,5.84194080464237,0.0272945068366859,0,2480.4543841384,
83.1787645215065,0.264171948755828,5.964,8.9030041613679,5.35640487045604,2,9,9782.00359645901,58.9622799285445,80.9965717226123,-33.7970288855372,184.77191449922,27.6346326506287,92.9316960137155,0,59.963,1,107.815290816028,1.6,1.56,5.58836139350668,3.74560584242309,0.0977345235391947,6.05762639138543,0.0388981845554294,0,2480.30977111446,
